"This extension adds massaction column and allows you to mass delete templates and copy with desired prefix and suffix.","This extension adds massaction column and allows you to mass delete templates and copy with desired prefix and suffix."
"More info","More info"
"Extension documentation","Extension documentation"
"Copy template(s)","Copy template(s)"
"Delete template(s)","Delete template(s)"
"Copied template: %s","Copied template: %s"
"Failed to copy: %s","Failed to copy: %s"
"Successfully deleted: %s","Successfully deleted: %s"
"Failed to delete: %s","Failed to delete: %s"
"Mass Transactional","Mass Transactional"
"Mass transactional copy and delete","Mass transactional copy and delete"
"This action will make 1:1 copy of selected e-mail templates with provided prefix and suffix in template name (code). Are you sure?","This action will make 1:1 copy of selected e-mail templates with provided prefix and suffix in template name (code). Are you sure?"
"Prefix:","Prefix:"
"Suffix:","Suffix:"
"Provide text which will be added to template code from the left side.","Provide text which will be added to template code from the left side."
"Provide text which will be added to template code from the right side.","Provide text which will be added to template code from the right side."
"Selected template(s) will be deleted permanently! Are you sure?","Selected template(s) will be deleted permanently! Are you sure?"
